Site,Long,Lat,TP mg/kg,TN%,TC%,TN g/kg,TC g/kg,LOI %,Depth (m),sSRP,bSRP,sNOx,bNOx,sNH3,bNH3,sTemp,sCond,sSPC,sTDS,sSal,sDO (% sat),sDO (mg/L),sPressure,spH,sORP,sTurb (FNU),sChlor (RFU),sChlor (ug/L),sBGA-PC (RFU),sBGA-PC (ug/L),sBaro (mmHg),bTemp,bCond uS/cm,bSPC,bTDS,bSal,bDO (% sat),bDO (mg/L),bPressure,bpH,bORP,bTurb (FNU),bChlor (RFU),bChlor (ug/L),bBGA-PC (RFU),bBGA-PC (_g/L),bBaro (mmHg)
55,38.762778,-89.242722,477.3257753,0.0628,0.635,0.628,6.35,4.934978326,1.8302,0.086,0.09,1.708,1.822,0.0351,0.07,26.7,NA,208.9,NA,NA,63.7,5.06,NA,7.38,NA,425,11.8,12.44,NA,NA,746.2,23.6,NA,199.9,NA,NA,42.4,3.6,NA,7.35,NA,541,11.2,12.85,NA,NA,746.2
56,38.777111,-89.238722,747.8352446,0.3676,2.5047,3.676,25.047,6.693189796,NA,0.1,0.103,1.352,1.406,0.0745,0.0627,25,NA,158.2,NA,NA,39,3.37,NA,7.07,NA,449,9.5,8.54,NA,NA,746.5,25.1,NA,157.3,NA,NA,41.8,3.41,NA,7.11,NA,501,9.6,9.2,NA,NA,746.5
57,38.777667,-89.227778,680.706101,0.621,0.9309,6.21,9.309,5.26478786,0.8302,0.106,0.101,1.357,1.39,0.1432,0.1218,22.3,NA,157.1,NA,NA,48.3,4.21,NA,7.13,NA,616,9.3,8.15,NA,NA,746.5,23.1,NA,157.1,NA,NA,43,3.62,NA,7.17,NA,980,10.3,9.65,NA,NA,746.5
58,38.768972,-89.223806,759.0258856,0.0815,1.2,0.815,12,6.74386921,2.3302,0.075,0.084,2.179,1.594,0.0191,0.0594,25.8,NA,300,NA,NA,70.7,5.75,NA,7.73,NA,318,10,15.65,NA,NA,746.8,22.9,NA,229.8,NA,NA,42.1,3.54,NA,7.54,NA,525,9.9,12.63,NA,NA,746.8
59,38.7705,-89.215806,537.922833,0.0347,0.8195,0.347,8.195,4.254756871,1.3302,0.097,0.096,1.35,1.17,0.0728,0.0829,23.9,NA,170,NA,NA,52.6,4.43,NA,7.25,NA,527,9.5,9.01,NA,NA,746.8,23.5,NA,171.2,NA,NA,48.3,4.04,NA,7.28,NA,631,10,10.75,NA,NA,746.8
60,38.784667,-89.213028,795.716946,0.0373,0.9201,0.373,9.201,4.657351963,1.3302,0.08,0.083,1.703,1.504,0.0253,0.0344,25,NA,256.58,NA,NA,68.6,5.71,NA,7.52,NA,403,13.5,13.2,NA,NA,746.8,24.3,NA,225.9,NA,NA,49.3,4.05,NA,7.46,NA,457,16,13.97,NA,NA,746.8
U1,38.618278,-89.355444,352.3930538,0.1491,1.9899,1.491,19.899,8.576814326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U2,38.71725,-89.224278,932.6002587,0.2206,2.7816,2.206,27.816,9.027777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U3,38.746833,-89.270278,657.5813707,0.2818,4.377,2.818,43.77,11.3174946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Upland, May-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
